note,developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
58,Bethesda Game Studios,Role-Playing,14-Nov-18,PlayStation Country,40,53,Fallout 76,tbd
59,Bethesda Game Studios,Role-Playing,14-Nov-18,GameSpot,40,53,Fallout 76,tbd
60,Bethesda Game Studios,Role-Playing,14-Nov-18,VideoGamer,40,53,Fallout 76,tbd
61,Bethesda Game Studios,Role-Playing,14-Nov-18,Guardian,40,53,Fallout 76,tbd
62,Bethesda Game Studios,Role-Playing,14-Nov-18,CGMagazine,40,53,Fallout 76,tbd
63,Bethesda Game Studios,Role-Playing,14-Nov-18,Push Square,30,53,Fallout 76,tbd
64,Heavy Spectrum,Sci-Fi,17-May-16,Areajugones,90,64,Shadow of the Beast,7.3
65,Heavy Spectrum,Sci-Fi,17-May-16,Hobby Consolas,87,64,Shadow of the Beast,7.3
66,Heavy Spectrum,Sci-Fi,17-May-16,PlayStation LifeStyle,85,64,Shadow of the Beast,7.3
67,Heavy Spectrum,Sci-Fi,17-May-16,GamingTrend,85,64,Shadow of the Beast,7.3
68,Heavy Spectrum,Sci-Fi,17-May-16,Wccftech,82,64,Shadow of the Beast,7.3
69,Heavy Spectrum,Sci-Fi,17-May-16,The Games Machine,82,64,Shadow of the Beast,7.3
70,Heavy Spectrum,Sci-Fi,17-May-16,GameOver.gr,80,64,Shadow of the Beast,7.3
71,Heavy Spectrum,Sci-Fi,17-May-16,XGN,80,64,Shadow of the Beast,7.3
72,Heavy Spectrum,Sci-Fi,17-May-16,COGconnected,80,64,Shadow of the Beast,7.3
73,Heavy Spectrum,Sci-Fi,17-May-16,ZTGD,80,64,Shadow of the Beast,7.3
74,Heavy Spectrum,Sci-Fi,17-May-16,Slant Magazine,80,64,Shadow of the Beast,7.3
75,Heavy Spectrum,Sci-Fi,17-May-16,Metro GameCentral,80,64,Shadow of the Beast,7.3
76,Heavy Spectrum,Sci-Fi,17-May-16,TheSixthAxis,80,64,Shadow of the Beast,7.3
77,Heavy Spectrum,Sci-Fi,17-May-16,USgamer,80,64,Shadow of the Beast,7.3
78,Heavy Spectrum,Sci-Fi,17-May-16,IGN Sweden,79,64,Shadow of the Beast,7.3
79,Heavy Spectrum,Sci-Fi,17-May-16,Multiplayer.it,78,64,Shadow of the Beast,7.3
80,Heavy Spectrum,Sci-Fi,17-May-16,IGN,76,64,Shadow of the Beast,7.3
81,Heavy Spectrum,Sci-Fi,17-May-16,PSX-Sense.nl,75,64,Shadow of the Beast,7.3
82,Heavy Spectrum,Sci-Fi,17-May-16,NZGamer,75,64,Shadow of the Beast,7.3
83,Heavy Spectrum,Sci-Fi,17-May-16,Merlin'in Kazanı (Turkey),75,64,Shadow of the Beast,7.3
84,Heavy Spectrum,Sci-Fi,17-May-16,LaPS4,75,64,Shadow of the Beast,7.3
85,Heavy Spectrum,Sci-Fi,17-May-16,God is a Geek,75,64,Shadow of the Beast,7.3
86,Heavy Spectrum,Sci-Fi,17-May-16,GRYOnline.pl,70,64,Shadow of the Beast,7.3
87,Heavy Spectrum,Sci-Fi,17-May-16,Atomix,70,64,Shadow of the Beast,7.3
88,Heavy Spectrum,Sci-Fi,17-May-16,Hardcore Gamer,70,64,Shadow of the Beast,7.3
89,Heavy Spectrum,Sci-Fi,17-May-16,We Got This Covered,70,64,Shadow of the Beast,7.3
90,Heavy Spectrum,Sci-Fi,17-May-16,PlayStation Universe,70,64,Shadow of the Beast,7.3
91,Heavy Spectrum,Sci-Fi,17-May-16,Meristation,70,64,Shadow of the Beast,7.3
92,Heavy Spectrum,Sci-Fi,17-May-16,Vandal,70,64,Shadow of the Beast,7.3
93,Heavy Spectrum,Sci-Fi,17-May-16,IGN Italia,70,64,Shadow of the Beast,7.3
94,Heavy Spectrum,Sci-Fi,17-May-16,IGN Spain,70,64,Shadow of the Beast,7.3
