developer,genre,release_date,review_critic,review_grade,seperate_reviews,title,user_score
Bungie,Action,6-Sep-17,PlayStation LifeStyle,95,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GamesBeat,95,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,PSX Extreme,95,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Wccftech,93,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Hobby Consolas,91,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,FANDOM,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Power Unlimited,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Games.cz,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Gameplanet,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,PlayStation Universe,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,AusGamers,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Polygon,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Post Arcade (National Post),90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Forbes,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,IBTimes UK,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Game Informer,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,CGMagazine,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,LaPS4,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Critical Hit,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Twinfinite,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Eurogamer Italy,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GamingTrend,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Trusted Reviews,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,PSX-Sense.nl,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,InsideGamer.nl,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,God is a Geek,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Attack of the Fanboy,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,NZGamer,90,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,The Games Machine,89,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Gaming Nexus,89,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Vandal,88,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Everyeye.it,88,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Cheat Code Central,88,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,COGconnected,88,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Impulsegamer,87,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Atomix,86,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GamePro Germany,86,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,MMORPG.com,86,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,GameOver.gr,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,ZTGD,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,TrueGaming,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Gamer.nl,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,LevelUp,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,IGN,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,3DJuegos,85,85,Destiny 2,4.9
Bungie,Action,6-Sep-17,Meristation,85,85,Destiny 2,4.9
